Severity,Issue Type,Sheet Row Number,Name,Arrondissement,Google Place ID,Field,Value,Affected Sheet Rows,Details
INFO,selected_missing_vibe,1532,L’EMPREINTE,14,ChIJEcUSM7dx5kcRo3kHqPKmfao,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1532,L’EMPREINTE,14,ChIJEcUSM7dx5kcRo3kHqPKmfao,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1533,NOUS épicerie anti-gaspi Paris Montparnasse,14,ChIJWwMFux5x5kcRkrkUiQbDc0Q,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1533,NOUS épicerie anti-gaspi Paris Montparnasse,14,ChIJWwMFux5x5kcRkrkUiQbDc0Q,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1533,NOUS épicerie anti-gaspi Paris Montparnasse,14,ChIJWwMFux5x5kcRkrkUiQbDc0Q,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_features,1534,INKA BISTROT,14,ChIJneWlSXhx5kcRGyFOamiUAM0,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1535,Le Ruisseau Burger Alésia,14,ChIJV4S6eNdx5kcRlwchD_OyMGo,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1535,Le Ruisseau Burger Alésia,14,ChIJV4S6eNdx5kcRlwchD_OyMGo,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1535,Le Ruisseau Burger Alésia,14,ChIJV4S6eNdx5kcRlwchD_OyMGo,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1536,Kokodak,14,ChIJU0wdbwBx5kcRspD3BRyZrUk,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1536,Kokodak,14,ChIJU0wdbwBx5kcRspD3BRyZrUk,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1536,Kokodak,14,ChIJU0wdbwBx5kcRspD3BRyZrUk,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_features,1537,Yatai Ramen Montparnasse,14,ChIJ2YusqEJx5kcRjeIoO27OMCg,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_features,1538,Le 17.45 Paris Daguerre - Planches à composer,14,ChIJc7i4DsZx5kcR8MYlBBKkFnA,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1539,Wingstop Paris 14 (livraison uniquement),14,ChIJU57p-sVx5kcRxWWxVxy4U2o,Cuisine,,,Selected row has a blank Cuisine; informational only.
