Sheet Row Number,Name,Arrondissement,Favorite,Cuisine,Vibe,Features,Address,Postal Code,Website,Google Place ID,Latitude,Longitude
1807,I Love Burger ❤️/ meilleur Burger de Paris /,17,,,,,"30 Rue des Acacias, 75017 Paris, France",75017,https://iloveburger.eu/,ChIJ64jugohv5kcRUT-tUb4enBg,48.8768129,2.2919104
1810,Krispy Korean Chicken I Poulet frit coréen,17,,,casual,,"22 Rue Biot, 75017 Paris, France",75017,https://www.krispykoreanchicken.com/,ChIJt71yVWBv5kcRtgfdajMSraI,48.8847558,2.3257419
1811,L'Entredgeu,17,,,,,"83 Rue Laugier, 75017 Paris, France",75017,https://lentredgeu.fr/fr,ChIJg5W7zZFv5kcRZKpLQhJUM-M,48.8847222,2.2913889
1812,La Buvette des Batignolles,17,,wine_bar,casual,,"40 Rue des Dames, 75017 Paris, France",75017,https://www.labuvettedesbatignolles.com/,ChIJ7wwFZsdv5kcR1LHLUmPSSUo,48.8842359,2.3231761
1813,La Cantine de Samuel,17,,,,,"11 Rue Fourcroy, 75017 Paris, France",75017,https://www.lacantinedesamuel.com/,ChIJA__0eZRv5kcR9Nr0fOkJwu4,48.8804189,2.2961878
1814,La Famiglia,17,,,casual,,"2 Rue Waldeck-Rousseau, 75017 Paris, France",75017,http://www.restaurantlafamiglia.com/,ChIJQywD8Yxv5kcRHEzJ_tkF4kQ,48.8796477,2.2865202
1865,La Fille du Boucher,17,,,,,"20 Rue Cardinet, 75017 Paris, France",75017,https://www.lafilleduboucher.fr/,ChIJS35iDb5v5kcRkV1tztoitDc,48.8816631,2.3027793
1815,La Trattoria di Bellagio,17,,,casual,,"101 Av. des Ternes, 75017 Paris, France",75017,https://www.restaurantsparisiens.com/la-trattoria-di-bellagio/en/home-page-en,ChIJlVBAZIxv5kcRyjyzCHT8uZE,48.8804554,2.28555
1802,Le Bistrot Flaubert,17,,bistro,"casual, classic",,"10 Rue Gustave Flaubert, 75017 Paris, France",75017,http://www.bistrotflaubert.com/,ChIJNVJhNJRv5kcR6uFVj1qSGSM,48.8814832,2.298731
1880,Le Café des Ternes,17,,cafe,casual,,"64 Av. des Ternes, 75017 Paris, France",75017,https://www.lecafedesternes.fr/,ChIJkW5UBRlv5kcRxIfQ2-W-OFA,48.8796304,2.2908948
1821,Le Cyrano,17,,wine_bar,casual,,"3 Rue Biot, 75017 Paris, France",75017,https://www.lecyranoparis.com/,ChIJHzVB-kxu5kcRdOIsAxTlxms,48.8837961,2.3265718
1822,Le Faham restaurant,17,,,casual,,"108 Rue Cardinet, 75017 Paris, France",75017,https://lefaham.com/,ChIJh7RqoiVv5kcR5w3Op2E4r2k,48.885508,2.3118679
1881,Le grand banquet,17,,,,,"2 Pl de la Pte Maillot, 75017 Paris, France",75017,https://le-grand-banquet.com/,ChIJGc4Mb4tv5kcRxuTrMZ46ByI,48.878529,2.284399
1823,Le Guersant,17,,,,,"30 Bd Gouvion-Saint-Cyr, 75017 Paris, France",75017,https://leguersant.fr/fr,ChIJsUb_iI5v5kcRSUvfiC5ZX9I,48.8835011,2.2874231
1887,Le Phalsbourg,17,,wine_bar,casual,,"3 Rue de Phalsbourg, 75017 Paris, France",75017,https://www.restaurantlephalsbourg.com/,ChIJ00A9bnZv5kcRzhzMTl6cQx8,48.881514,2.3088974
1824,Le Truffaut,17,,,,,"89 Rue Truffaut, 75017 Paris, France",75017,https://www.restaurantletruffaut.com/,ChIJ1QOpqRJv5kcRm39uJ43NJ24,48.8886814,2.3166724
1882,Le Wagon Bleu,17,,wine_bar,casual,,"7 Rue Boursault, 75017 Paris, France",75017,https://www.lewagonbleu.fr/,ChIJEzRem7Nv5kcRSL1QM_Qrzok,48.88301,2.3205382
