Sheet Row Number,Name,Arrondissement,City,Postal Code,Status,Needs Review,Google Place ID,Latitude,Longitude,Exclusion Reasons,Location Concern
332,Cinq Fois Plus,3,Paris,75003,closed,FALSE,ChIJ____khtu5kcRO-HVYqSdNp0,48.8623127,2.3521941,inactive,
347,Iemanja Paris Tapiocaria,3,Paris,75003,closed,FALSE,ChIJVVWh_QVu5kcRwS2c_mwuoQA,48.8654437,2.3619157,inactive,
349,Istr,3,Paris,75003,closed,FALSE,ChIJ38NQwg9u5kcR_BHPw0V7BDE,48.8674128,2.3575347,inactive,
352,Fimmina Pizzeria,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
353,Food Market - Chouchou Hotel,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
356,La Cloche d'Or - Open Late,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
357,Le JOÜY,3,Paris,75003,closed,FALSE,ChIJf71uEelv5kcRH7g2q0_PQOI,48.866076,2.3572691,inactive,
361,Restaurant Rochechouart - Hotel Rochechouart,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
364,Les chouettes (Grand Duc),3,Paris,75003,closed,FALSE,ChIJJ4fNQQZu5kcRUAC86Au9C5A,48.8643799,2.3635729,inactive,
367,Les Jardins d'Olympe,4,Paris,75004,closed,FALSE,ChIJTUosJAxv5kcR03ETWOSgHLA,48.8571764,2.3621588,inactive,
374,moeuf,3,Paris,75003,closed,FALSE,ChIJZaMtDtRv5kcRlsJSLY1Dkck,48.8627443,2.366237,inactive,
377,Mugiz,3,Paris,75003,closed,FALSE,ChIJr3Ljpnlv5kcRulj2tDqhw2Y,48.8611071,2.3541257,inactive,
383,POLY,3,Paris,75003,closed,FALSE,ChIJK7dg-gdv5kcR60bNVYvW6-A,48.8642891,2.3549729,inactive,
387,Tortuga – Galeries Lafayette,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
393,SUPPERBLUE par YONI SAADA,3,Paris,75003,closed,FALSE,ChIJb3AQ9ZFv5kcRzeNWvf-mm-8,48.8631868,2.3642854,inactive,
396,That's Life,3,Paris,75003,closed,FALSE,ChIJDRFGhQVu5kcRu2fXCjrKnw0,48.8653663,2.3601015,inactive,
398,Villa Yora,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
399,Yakuza - Maison Albar Hotel,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
406,5 Baht,4,Paris,75004,closed,FALSE,ChIJRyfprdNv5kcRUA_6k2zoPyU,48.8592089,2.3534303,inactive,
409,Neuvième Cru Paris,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
413,Farago PintxoClub,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
414,Goku Comedy - Bruce,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
416,Capitaine,4,Paris,75004,closed,FALSE,ChIJTeLskP9x5kcRBXIq8a0-lhE,48.8540404,2.365977,inactive,
419,LALÀ,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
429,La Mangerie,4,Paris,75004,closed,FALSE,ChIJH6OgIf5x5kcRI5zH49rwKTY,48.8557001,2.3628122,inactive,
430,Mediacafé,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
431,Le Perchoir Marais,4,Paris,75004,closed,FALSE,ChIJoWH6Ex1u5kcRg7XHRXA1dXM,48.8572702,2.3532773,inactive,
435,Les Pinces,4,Paris,75004,closed,FALSE,ChIJe76qzgJu5kcRuqsPy7Z7iBg,48.8576008,2.356244,inactive,
438,Nellu,4,Paris,75004,closed,FALSE,ChIJCcdBXhVx5kcRN7CId7MCK9c,48.8549492,2.3553847,inactive,
439,Bien Ficelé,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
441,Panozzi Marais,4,Paris,75004,closed,FALSE,ChIJ2Y9zlE1v5kcRQJMbP4RS-G0,48.8584198,2.3550387,inactive,
